MONTOAPROBADO;CALIFICACION_TOTAL;INGRESONETOCLIENTE;TUVOMORA
40000;695;55500;0
40291;599;0;1
40500;591;20000;0
40500;642;5000;0
40500;653;32000;0
40530;653;8500;1
41000;606;47500;1
41000;623;0;1
41500;562;43500;0
41500;707;112400;0
41700;618;0;0
43500;215;8000;1
43500;281;8000;1
43786;631;68000;0
44000;616;55000;0
45000;297;29000;1
45000;299;29000;1
45000;557;25000;0
45000;568;20000;0
45000;575;20000;0
45000;589;50000;0
45000;592;20000;1
45000;599;98000;0
45000;601;0;1
45000;603;44600;1
45000;604;-32000;0
45000;607;0;1
45000;608;0;1
45000;613;91000;0
45000;613;0;1
45000;615;0;1
45000;617;70000;0
45000;619;-13500;0
45000;622;156000;1
45000;623;115000;0
45000;623;36000;0
45000;625;22000;0
45000;631;50000;1
45000;635;44600;0
45000;641;30000;0
45000;643;80000;0
45000;643;30000;0
45000;653;1278200;0
45000;683;48000;0
45049;688;-48400;1
46000;589;15000;0
46214;657;-25800;0
46400;630;156000;1
46700;718;20000;0
46800;575;63000;0
47000;634;385000;0
47000;657;134000;1
47000;665;134000;1
47000;699;176000;1
47087;644;-9000;1
47573;595;41000;0
47700;643;134000;0
47700;701;23000;0
48058;699;20000;0
48276;628;0;0
48300;657;82000;0
48544;598;48000;0
48544;599;17500;1
48544;607;42200;0
48544;619;0;1
48544;629;0;1
48544;642;0;1
48544;645;0;1
48544;733;46100;0
48780;781;68800;1
49500;670;80000;0
49515;657;130000;0
49515;661;82500;1
49515;752;-32800;0
49515;817;-32800;0
49800;673;16500;0
49800;675;21000;0
49800;698;16500;1
49834;713;100000;0
50000;214;43000;0
50000;214;15000;1
50000;221;80000;1
50000;227;55000;0
50000;238;27000;0
50000;240;60500;1
50000;242;40000;1
50000;244;800;1
50000;254;230000;1
50000;256;5000;1
50000;257;16950;1
50000;259;50000;0
50000;260;68400;0
50000;260;39000;1
50000;266;44000;1
50000;269;45000;1
50000;272;35000;1
50000;272;31500;0
50000;275;47000;1
50000;276;-28800;0
50000;278;44500;1
50000;282;60000;1
50000;285;705800;0
50000;287;30000;1
50000;288;13500;0
50000;288;800;0
50000;289;91000;0
50000;293;-13000;1
50000;294;47000;1
50000;296;60000;1
50000;299;-34100;1
50000;300;127600;1
50000;302;20000;1
50000;302;29000;1
50000;306;36500;0
50000;307;68500;1
50000;309;60000;0
50000;311;0;1
50000;311;23000;1
50000;311;230000;1
50000;313;112000;1
50000;313;80000;1
50000;313;1247000;1
50000;315;83000;1
50000;320;54500;0
50000;320;74000;1
50000;326;32500;1
50000;327;32500;1
50000;329;-4000;1
50000;331;50100;0
50000;331;72300;1
50000;332;65000;1
50000;332;55500;1
50000;337;70400;1
50000;339;94700;0
50000;340;35000;1
50000;340;50000;1
50000;340;63000;1
50000;341;55500;1
50000;343;72500;1
50000;346;-18700;0
50000;349;112000;1
50000;356;44000;1
50000;357;122000;1
50000;358;-49000;1
50000;358;60800;0
50000;360;18000;1
50000;361;70400;1
50000;363;80000;1
50000;366;26000;1
50000;366;-37000;1
50000;369;-29000;1
50000;376;58000;1
50000;376;-10100;1
50000;376;67500;0
50000;378;193000;0
50000;381;20000;1
50000;385;33800;1
50000;388;83000;1
50000;390;27000;1
50000;390;72300;1
50000;391;117800;1
50000;393;-5000;1
50000;399;30500;1
50000;402;-21000;1
50000;557;35000;0
50000;557;22000;0
50000;565;33000;1
50000;565;45000;0
50000;569;0;0
50000;569;0;1
50000;569;45000;1
50000;571;49000;1
50000;573;75000;0
50000;575;60000;0
50000;576;206000;0
50000;581;-48920;1
50000;583;0;0
50000;589;83000;1
50000;590;-20000;0
50000;590;30000;0
50000;591;-6400;0
50000;592;0;0
50000;593;94000;0
50000;594;26000;1
50000;595;-87000;0
50000;595;18000;1
50000;595;76000;0
50000;597;38000;0
50000;598;-45000;1
50000;598;26000;0
50000;598;48000;1
50000;599;0;0
50000;599;40000;1
50000;599;13000;0
50000;599;24200;1
50000;599;40000;0
50000;599;62500;0
50000;601;31500;1
50000;602;0;0
50000;603;57500;0
50000;603;55000;1
50000;604;0;1
50000;604;48000;0
50000;604;33000;1
50000;607;-20000;0
50000;607;0;1
50000;607;65000;1
50000;609;22000;0
50000;609;62000;0
50000;613;-30000;0
50000;613;0;1
50000;613;70500;0
50000;615;0;0
50000;616;35000;0
50000;619;844400;0
50000;619;-11500;1
50000;619;38000;0
50000;619;36000;0
50000;619;24000;1
50000;619;148000;1
50000;621;35000;0
50000;621;31500;1
50000;621;64000;0
50000;623;0;1
50000;623;40500;1
50000;624;-17000;0
50000;624;88500;0
50000;625;30000;0
50000;625;47950;1
50000;625;79500;0
50000;627;40000;0
50000;627;24000;1
50000;628;45000;1
50000;631;0;0
50000;633;30000;0
50000;634;22000;1
50000;635;0;0
50000;635;20450;0
50000;635;30000;1
50000;637;0;0
50000;637;32200;1
50000;637;53000;0
50000;641;0;0
50000;641;54000;0
50000;642;133500;0
50000;643;206000;1
50000;643;30000;1
50000;645;96600;0
50000;645;-28400;0
50000;646;18000;1
50000;646;32000;0
50000;647;107000;0
50000;647;51000;0
50000;648;43000;0
50000;651;27000;0
50000;651;46000;0
50000;652;0;0
50000;652;110000;0
50000;653;23000;0
50000;654;29400;1
50000;654;102000;0
50000;655;-22000;0
50000;655;62000;0
50000;655;110000;0
50000;656;28500;1
50000;657;250000;1
50000;657;60000;1
50000;659;50500;1
50000;659;50000;1
50000;660;77000;0
50000;661;26000;1
50000;661;51000;0
50000;663;35000;0
50000;663;23000;1
50000;663;77000;0
50000;667;60000;0
50000;669;117000;0
50000;669;96000;1
50000;669;48500;0
50000;669;102000;1
50000;669;26000;0
50000;671;57500;0
50000;672;73000;1
50000;673;-22000;0
50000;673;800;0
50000;674;30000;0
50000;674;62500;1
50000;675;-17000;1
50000;675;80000;1
50000;676;20000;0
50000;677;57000;0
50000;680;1000;0
50000;681;25000;1
50000;681;68500;1
50000;681;217500;0
50000;682;66000;0
50000;683;0;1
50000;683;-17000;0
50000;684;55000;1
50000;686;0;1
50000;687;0;0
50000;688;60000;1
50000;688;34700;1
50000;690;33600;0
50000;691;-19500;0
50000;691;77000;0
50000;694;-20700;0
50000;695;0;0
50000;697;-17900;0
50000;698;30000;0
50000;699;51000;0
50000;699;77000;0
50000;701;128500;0
50000;702;33000;1
50000;702;102000;1
50000;702;100000;0
50000;702;2472000;0
50000;703;120000;1
50000;705;27500;0
50000;706;-29000;1
50000;707;-10100;1
50000;708;32000;0
50000;709;37000;0
50000;710;23000;0
50000;710;47000;1
50000;712;41000;0
50000;714;32000;0
50000;715;48000;0
50000;716;32000;0
50000;717;61600;1
50000;720;340000;1
50000;723;16000;1
50000;728;28200;1
50000;733;30300;1
50000;737;1288000;0
50000;737;28500;1
50000;739;159000;0
50000;742;30300;1
50000;745;1000;0
50000;768;21800;1
50000;808;-10100;1
50000;831;50700;1
50244;721;48000;0
50244;846;12000;1
50249;854;16950;1
50250;571;60000;1
50291;607;21900;0
50291;631;20400;1
50291;668;-14500;1
50300;565;36000;0
50300;575;20000;0
50300;613;0;0
50300;619;0;0
50300;623;5000;0
50300;627;43000;0
50300;631;0;0
50300;655;71600;0
50300;683;25000;1
50300;691;54000;0
50300;695;78000;1
50329;687;23000;0
50329;689;23000;0
50400;645;92000;0
50400;649;70000;1
50400;676;135000;0
50485;599;30000;1
50485;599;930000;0
50485;619;-45200;0
50485;625;0;1
50485;637;0;1
50485;647;20000;1
50485;665;0;1
50485;699;20000;0
50485;699;20000;1
50485;706;20000;0
50485;714;42000;1
50485;725;33000;0
50485;757;33000;0
50495;649;21900;1
50495;721;87000;1
50495;723;63000;1
50495;726;686000;1
50500;590;114000;0
50500;619;32500;0
50500;639;108400;0
50500;649;60000;0
50500;666;238000;0
50662;780;-39900;1
50777;599;-11000;0
50831;763;50700;1
50864;683;65500;1
50915;719;40000;0
50971;581;0;0
50971;599;40000;0
51000;313;230000;0
51000;575;15000;0
51000;601;40000;0
51000;619;77000;1
51000;619;40000;0
51000;625;33000;0
51000;632;14000;0
51000;633;25000;0
51000;636;121500;0
51000;645;35800;0
51000;645;52000;0
51000;655;48500;0
51000;657;48500;0
51000;657;60000;0
51000;669;89000;0
51000;675;77000;0
51000;677;68500;0
51000;678;5000;0
51000;679;37000;1
51000;684;10000;0
51000;685;23000;0
51000;685;121500;0
51000;686;42200;0
51000;697;60000;0
51000;699;60000;1
51000;705;60000;1
51000;705;74000;1
51000;779;-21000;0
51089;696;23000;1
51089;721;-71300;0
51159;718;139300;0
51316;725;-38000;1
51414;738;-28000;1
51414;805;-28000;1
51429;749;1365000;0
51456;593;0;1
51456;597;0;0
51456;610;17000;0
51456;652;40000;1
51456;671;0;1
51456;701;50500;1
51456;727;46000;0
51456;747;492000;0
51485;791;-60900;1
51500;575;30000;1
51500;583;65000;0
51500;592;60800;0
51500;599;60800;0
51500;643;179000;0
51500;644;125000;1
51500;645;17000;1
51500;648;35000;1
51500;650;179000;0
51500;662;85000;1
51500;677;110000;0
51500;680;135700;1
51500;685;77000;0
51500;686;-20000;0
51500;687;19800;1
51500;692;68500;1
51500;693;23000;0
51500;705;23000;0
51707;717;20000;0
51724;682;0;0
51741;693;37000;1
51741;695;-25300;1
51741;733;48000;1
51827;709;-63000;0
51942;727;29000;1
51961;655;12200;1
51980;687;27600;1
51980;733;46000;0
52000;573;27800;1
52000;590;135000;0
52000;594;-24800;1
52000;595;0;0
52000;609;72500;1
52000;621;26000;0
52000;657;72500;1
52000;663;50000;1
52000;669;37000;1
52000;669;89000;0
52131;711;80000;1
52131;729;-53500;1
52152;724;-10000;1
52178;683;40000;0
52178;687;40000;0
52239;719;18000;1
52277;787;57000;1
52303;721;26000;0
52427;655;17500;1
52427;666;63500;0
52475;669;65000;1
52475;695;-13800;1
52475;700;33000;1
52475;723;35000;1
52475;739;73500;0
52475;766;974000;0
52475;779;63000;1
52562;669;33000;0
52562;738;20400;0
52736;672;492000;0
52736;692;28000;1
52736;713;48000;0
52736;739;24500;1
53000;595;36000;0
53000;612;0;0
53000;626;65000;0
53000;633;50000;0
53000;633;88500;1
53000;653;31500;0
53000;657;51000;1
53000;660;78000;0
53000;661;26000;1
53000;665;20000;1
53000;699;33000;1
53398;599;0;1
53398;599;13000;1
53398;599;21000;1
53398;607;17500;1
53398;611;35000;0
53398;619;27000;0
53398;625;20000;1
53398;631;0;0
53398;652;45000;0
53398;661;30400;1
53398;676;29000;1
53400;611;0;1
53400;648;14000;0
53922;680;0;0
54000;568;20000;0
54000;581;60000;0
54000;601;0;1
54000;609;0;1
54000;611;64000;1
54000;624;20000;0
54000;628;20000;0
54000;657;64000;1
54000;661;20000;0
54000;673;130000;0
54276;688;-31800;1
54276;769;-42800;1
54369;607;18000;1
54369;672;-67700;1
54369;789;-4500;1
54455;649;18500;1
54545;673;68000;1
54726;713;34000;1
54951;599;-49800;1
55000;375;45000;1
55000;601;31500;0
55000;652;30000;1
55000;772;33800;1
55340;692;35000;1
55340;708;35000;1
55545;719;38000;1
55825;599;0;0
56000;611;48000;0
56000;649;130000;0
56311;719;56000;1
56311;763;56000;1
57000;586;34500;1
57000;709;-37800;0
57000;763;-37800;0
57573;736;13000;0
58000;619;120000;0
58000;661;0;1
58252;637;0;1
58252;663;40000;0
58252;677;46100;0
58252;706;27000;1
58252;733;0;1
59016;691;148000;0
59406;661;170000;0
59406;692;25900;0
59603;708;55000;0
59603;733;135000;0
59802;713;78000;0
60000;214;9000;1
60000;240;42000;0
60000;242;30000;1
60000;244;120000;0
60000;257;44000;1
60000;260;-73150;0
60000;260;16700;1
60000;265;20000;1
60000;275;9000;1
60000;283;77000;0
60000;283;67500;1
60000;289;32000;0
60000;291;77000;1
60000;295;100000;0
60000;297;44000;1
60000;301;52000;0
60000;304;159600;1
60000;308;-22000;0
60000;326;57700;1
60000;329;135700;1
60000;330;75000;0
60000;340;30000;1
60000;355;-22000;0
60000;362;40000;1
60000;557;0;0
60000;574;-5000;0
60000;575;0;0
60000;581;86000;0
60000;587;-22000;0
60000;593;37300;0
60000;595;0;0
60000;595;0;1
60000;599;36000;0
60000;605;11000;0
60000;607;35000;0
60000;607;36000;1
60000;610;16500;1
60000;615;60000;0
60000;626;88500;0
60000;627;17000;0
60000;628;0;0
60000;629;35000;0
60000;629;78000;0
60000;631;100000;0
60000;634;43500;0
60000;637;0;1
60000;643;109500;1
60000;652;18000;1
60000;653;32000;0
60000;657;41400;0
60000;661;17000;0
60000;663;88500;0
60000;664;102000;0
60000;665;70500;0
60000;669;352200;1
60000;672;16000;0
60000;676;44000;0
60000;676;7000;1
60000;678;43500;1
60000;679;35000;0
60000;679;78000;0
60000;679;102000;1
60000;697;20000;1
60000;707;22000;1
60000;708;12000;0
60000;709;36500;0
60000;711;58000;1
60000;715;58500;1
60000;716;0;1
60000;724;102000;1
60000;733;60000;0
60000;752;20400;1
60000;770;53000;1
60000;801;6500;1
60194;607;0;1
60194;637;0;0
60194;648;55000;1
60194;672;51400;1
60194;694;30000;1
60194;730;-21000;1
60194;756;51400;1
60291;610;50000;1
60293;731;65500;1
60300;605;70500;0
60388;575;0;1
60395;654;25000;1
60395;722;53000;1
60400;595;32000;0
60485;601;0;1
60485;696;10400;1
60485;714;10400;1
60500;654;0;0
60500;664;64000;1
60500;698;2472000;0
60594;741;40000;1
60594;741;20400;1
60680;654;30000;0
60680;687;0;0
61000;595;61500;0
61000;595;-66500;0
61000;602;-66500;0
61165;681;36000;1
61165;832;36000;1
61500;307;4000;1
61500;335;44500;0
61600;240;40000;1
61600;240;8500;0
61600;240;60000;1
61600;240;20000;0
61600;240;24000;1
61600;246;24000;1
61600;258;55000;1
61600;264;-5000;0
61600;264;23634;0
61600;264;17500;0
61600;264;133800;1
61600;272;38000;1
61600;272;90000;0
61600;303;80000;1
61600;306;43000;0
61600;308;53000;0
61600;318;97000;0
61600;323;5000;1
61600;324;32000;0
61600;330;70000;1
62000;679;54000;0
62000;702;41000;0
62100;687;54000;0
62136;661;69500;0
62471;664;66000;0
62500;691;233500;1
62583;725;99000;1
62871;654;40000;0
63000;551;0;0
63000;575;39000;0
63000;653;20000;0
63000;661;168000;1
63107;604;0;1
63107;613;0;0
63107;692;25500;0
63107;747;25500;0
63107;747;27600;1
63204;595;58800;1
63500;634;30000;0
63689;727;65500;1
64000;608;10000;1
64000;648;27000;0
64078;697;43500;0
65000;294;35000;0
65000;569;89000;0
65000;622;5000;0
65000;630;5000;0
65000;669;29000;0
65049;645;29200;0
65049;649;29200;0
65325;635;8500;0
65534;619;-23000;0
66200;692;25000;1
66990;655;24000;0
67000;575;0;0
67000;689;-97100;0
67961;581;0;1
67961;595;0;1
67961;663;0;0
68317;717;-34100;1
68400;595;6000;0
68500;661;49500;1
69000;649;60000;0
69700;628;0;1
69903;675;30000;0
69934;720;28400;1
69934;757;28400;1
70000;240;150000;1
70000;254;46500;1
70000;271;21000;1
70000;278;77000;0
70000;281;54000;1
70000;288;54000;0
70000;294;68500;1
70000;320;40600;1
70000;325;75000;1
70000;328;47500;1
70000;328;176000;1
70000;361;27000;1
70000;369;42500;0
70000;378;66500;0
70000;384;60000;1
70000;399;51000;1
70000;575;50000;0
70000;581;32500;1
70000;596;45000;1
70000;597;40000;0
70000;599;-2000;1
70000;599;22500;0
70000;607;-10500;0
70000;609;28000;1
70000;613;40000;0
70000;619;9500;1
70000;621;52900;1
70000;623;30400;1
70000;631;70100;1
70000;637;41500;0
70000;638;36000;0
70000;640;34500;0
70000;644;-63000;0
70000;645;35000;1
70000;649;45000;0
70000;649;40700;1
70000;650;25000;1
70000;652;30000;0
70000;659;40700;1
70000;659;47500;0
70000;661;28000;1
70000;669;57000;0
70000;675;41000;1
70000;678;5000;0
70000;685;56000;1
70000;700;41000;0
70000;701;84000;0
70000;705;60000;1
70000;707;-23400;1
70000;747;23000;0
70000;762;-39900;1
70000;786;11000;1
70388;599;0;1
70400;627;40700;1
70485;674;40000;0
70500;625;50000;1
70500;710;-12000;1
70874;597;30000;0
70874;613;35000;1
70874;625;32000;0
70874;648;0;1
71000;591;30000;0
71000;621;23000;0
71000;627;20000;0
71000;686;5000;0
71045;706;-20000;0
71359;619;-17000;0
71600;733;114000;0
72000;565;30000;0
72000;601;0;0
72000;603;92000;0
72000;621;37000;0
72000;683;59500;1
72000;756;30000;1
72000;816;30000;1
72195;857;530000;0
72293;703;-25300;1
72500;651;28000;0
72500;657;15000;1
72787;693;29000;1
72787;715;29000;1
72816;603;13000;1
72816;634;28000;1
72816;637;28000;1
73366;772;11000;1
73529;695;-28000;1
73627;742;33500;1
73770;756;-45000;1
73786;692;0;0
74950;677;108400;0
74951;599;35400;1
75000;574;35000;0
75000;575;14000;0
75000;607;10000;0
75000;612;0;1
75000;639;27000;1
75000;677;44000;0
75000;727;47000;1
75400;599;14000;1
75728;599;0;0
75728;605;-11000;1
75728;637;43500;1
75728;706;43500;1
75800;595;110000;0
75842;780;-37000;0
77000;632;12200;1
77670;676;0;1
77670;698;169600;1
77670;713;41000;1
77670;725;40000;1
78049;701;22000;1
78500;692;20000;0
78500;699;54600;0
78818;750;25500;1
78818;751;25500;1
79967;715;101000;1
80000;216;40000;1
80000;220;89000;1
80000;240;38500;0
80000;242;120000;1
80000;248;30000;1
80000;257;100000;0
80000;257;50000;1
80000;275;-49500;1
80000;276;51400;1
80000;279;39000;1
80000;310;43000;1
80000;319;38500;0
80000;340;51400;1
80000;363;20400;0
80000;384;38000;1
80000;384;79000;1
80000;391;51000;1
80000;394;73000;1
80000;575;32000;0
80000;581;0;0
80000;598;24000;0
80000;599;0;1
80000;611;0;1
80000;623;43000;0
80000;625;100000;0
80000;639;-59000;1
80000;648;52200;0
80000;649;84500;1
80000;649;-59000;1
80000;658;35000;1
80000;658;28000;1
80000;659;47500;0
80000;661;31600;1
80000;668;21500;1
80000;669;74000;0
80000;674;49500;1
80000;676;40000;1
80000;681;65000;0
80000;684;55000;0
80000;687;50500;0
80000;687;-8900;1
80000;698;20400;1
80000;700;29000;0
80000;714;-8900;1
80000;730;20200;1
80000;763;1000;1
80265;721;-21000;1
80392;692;55000;0
80392;694;39000;1
80500;571;0;0
80500;654;11000;0
80500;661;46000;1
80500;675;100000;0
80583;613;0;1
80583;713;8000;1
80583;726;8000;1
80792;649;56500;1
81000;642;5000;0
81000;655;20000;0
81000;656;70000;1
81373;718;47000;1
81700;699;54600;0
82000;240;92000;1
82000;240;25500;0
82000;245;92200;0
82000;252;25000;1
82000;278;148000;0
82000;278;37000;0
82000;295;20000;1
82000;299;50000;0
82000;307;50000;0
82000;311;75000;0
82000;321;45500;1
82000;325;66000;0
82000;330;134000;0
82000;692;54600;0
82000;728;60000;1
82039;619;-17500;0
82178;605;-8000;0
82524;599;0;1
82697;664;30000;1
83000;278;40000;0
83000;611;40000;0
83000;646;15000;1
83000;697;55500;0
83000;716;27800;1
83500;572;83000;0
83700;607;30000;0
83800;725;34900;1
84078;650;60000;1
84078;681;16500;0
85000;635;45000;0
85000;647;24000;1
85000;651;24000;1
85000;655;92000;0
85000;661;100000;0
85000;712;-60900;1
85200;703;80000;1
85200;706;80000;1
85500;613;55000;0
86000;271;54000;0
86000;274;20000;1
86500;697;83000;0
89000;715;25500;1
89000;821;25500;1
89800;705;40000;1
90000;214;29000;1
90000;264;97000;1
90000;288;-92100;1
90000;298;62000;1
90000;303;43000;1
90000;386;59650;1
90000;569;0;0
90000;574;118000;1
90000;575;20000;0
90000;575;28000;0
90000;578;132000;0
90000;580;16000;0
90000;589;0;0
90000;596;0;1
90000;598;0;0
90000;598;-48000;1
90000;599;28000;0
90000;599;43500;1
90000;599;39000;1
90000;601;0;1
90000;602;61500;1
90000;602;486000;1
90000;604;0;1
90000;604;30000;0
90000;607;25000;1
90000;608;135000;1
90000;611;41000;1
90000;612;0;0
90000;616;88000;1
90000;618;0;0
90000;625;0;1
90000;625;65000;0
90000;627;60000;1
90000;627;148000;1
90000;631;-10000;0
90000;632;0;1
90000;635;132500;0
90000;635;41500;1
90000;635;60000;0
90000;636;0;0
90000;638;36000;0
90000;645;138000;0
90000;649;15000;0
90000;650;0;0
90000;652;55000;0
90000;653;75700;0
90000;654;50000;1
90000;657;20450;0
90000;659;60000;0
90000;663;16000;1
90000;667;19300;1
90000;667;88000;1
90000;672;40000;1
90000;673;105600;0
90000;675;135000;1
90000;677;40000;1
90000;678;420000;1
90000;681;85000;1
90000;684;41500;1
90000;686;288000;1
90000;688;-70000;0
90000;698;32000;0
90000;703;18000;1
90000;704;47500;1
90000;717;46000;1
90000;724;43000;1
90000;729;133500;1
90000;735;-189300;1
90000;745;1000;0
90295;669;170000;0
90600;668;110000;0
90800;671;78000;0
91000;627;0;0
93000;314;35000;0
93500;713;44500;0
94000;248;56500;0
94660;604;0;0
94660;657;-43000;0
94660;665;-43000;0
95000;246;59500;1
95000;322;125000;1
95000;394;125000;1
95000;631;59500;1
95000;636;0;1
95000;675;-2000;0
96000;307;67000;1
97087;589;0;1
97087;593;43000;1
97087;593;28000;1
97087;595;22000;1
97087;599;0;0
97087;599;0;1
97087;604;0;1
97087;604;20000;1
97087;605;24400;1
97087;607;0;1
97087;611;0;1
97087;619;32000;0
97087;619;39000;1
97087;619;16500;0
97087;622;0;1
97087;631;-49000;1
97087;631;167000;1
97087;637;0;1
97087;637;167000;1
97087;641;45000;1
97087;643;-35500;0
97087;645;29900;1
97087;653;-15000;0
97087;655;0;0
97087;657;0;1
97087;659;0;1
97087;660;0;1
97087;660;49000;0
97087;663;-10000;1
97087;668;0;1
97087;668;33200;0
97087;670;-12900;1
97087;676;20000;0
97087;679;0;0
97087;682;49000;0
97087;683;40200;0
97087;687;46000;1
97087;688;25000;1
97087;689;0;0
97087;692;25000;1
97087;697;0;1
97087;697;67200;0
97087;698;0;1
97087;701;0;1
97087;718;80000;1
97087;722;68500;1
97087;732;40200;0
97087;737;25000;1
97282;687;-21800;1
97282;756;-66000;0
97561;661;0;0
98000;595;70000;0
98000;727;67000;1
98000;764;67000;1
98039;683;0;1
98039;713;60000;1
98039;750;40000;0
98039;753;40000;0
98058;599;0;0
98058;613;0;1
98058;654;17000;1
98058;656;0;0
98058;666;-4000;0
98058;667;-52000;0
98058;672;0;0
98058;683;60000;0
98058;687;30000;0
98058;688;0;1
98058;691;52000;1
98058;697;-100000;0
98058;707;-100000;0
98058;713;12000;0
98058;724;-52000;0
98058;726;50000;0
98058;728;79000;0
98058;728;45000;0
98058;729;50000;0
98058;731;0;0
98058;739;30000;0
98058;756;170500;0
98500;391;-30000;1
98500;575;0;0
98522;677;0;0
98544;607;0;0
98641;637;-3500;0
98641;645;-3500;0
98641;675;62000;0
98641;676;72000;0
98641;679;0;0
98641;683;0;0
98765;728;124000;0
99000;574;-10000;0
99000;639;29600;0
99000;645;0;1
99000;646;0;1
99000;770;15600;1
99029;639;25400;1
99029;642;32000;1
99029;665;48000;1
99029;729;87000;1
99029;735;33500;0
99029;758;33616;1
99029;785;125000;0
99029;787;33616;1
99029;811;38000;1
99029;812;38000;1
99029;815;32000;1
99338;695;-16000;1
99338;700;391400;1
99512;730;87000;1
99515;669;-20300;0
100000;208;23500;0
100000;208;20450;1
100000;214;30000;0
100000;214;13800;1
100000;214;46000;1
100000;216;23800;1
100000;222;41500;1
100000;226;26000;0
100000;227;30000;0
100000;227;30200;1
100000;227;-10000;1
100000;227;40600;1
100000;227;40000;1
100000;227;136000;0
100000;230;35000;0
100000;233;45000;0
100000;238;60000;0
100000;239;30000;0
100000;239;0;1
100000;240;25000;0
100000;240;47000;1
100000;240;41500;1
100000;242;19000;1
100000;245;13600;1
100000;248;113000;1
100000;251;41000;0
100000;251;35000;1
100000;252;41500;1
100000;257;70000;1
100000;257;39000;1
100000;260;32600;0
100000;260;259000;1
100000;263;50000;1
100000;264;10600;1
100000;266;52400;1
100000;269;72000;1
100000;269;20000;1
100000;272;40000;0
100000;272;99200;1
100000;273;60500;1
100000;275;54000;1
100000;276;13500;1
100000;277;29000;0
100000;278;101000;1
100000;282;42000;1
100000;283;233500;1
100000;284;37000;1
100000;284;-29300;0
100000;284;17000;1
100000;284;15000;1
100000;288;1006000;1
100000;288;43500;1
100000;290;40000;1
100000;292;-66000;1
100000;295;40000;0
100000;295;46000;1
100000;296;115500;1
100000;296;82000;1
100000;297;66000;1
100000;297;71000;1
100000;298;40000;1
100000;299;30500;0
100000;300;27500;0
100000;301;196900;1
100000;301;46355;1
100000;302;154600;0
100000;304;78100;1
100000;305;20000;1
100000;305;170000;1
100000;306;16600;0
100000;306;52400;1
100000;306;-27300;0
100000;307;126000;1
100000;308;-6000;1
100000;308;-20700;0
100000;308;70000;1
100000;308;57000;1
100000;309;-27300;0
100000;309;217500;1
100000;310;26000;1
100000;312;23000;1
100000;312;23000;1
100000;313;1188500;1
100000;313;-27300;1
100000;313;13500;1
100000;314;644900;0
100000;314;209500;1
100000;314;19500;1
100000;315;11900;0
100000;315;25900;1
100000;315;60000;0
100000;315;126000;1
100000;316;90000;0
100000;317;120000;0
100000;317;-9800;1
100000;317;60000;1
100000;317;50000;1
100000;319;225000;1
100000;319;61600;1
100000;319;90200;1
100000;324;40100;0
100000;325;73500;1
100000;325;17000;1
100000;325;15000;1
100000;326;-55000;1
100000;327;82000;0
100000;327;55500;1
100000;328;85000;0
100000;328;161400;1
100000;328;-43800;1
100000;328;56500;1
100000;328;67000;1
100000;329;1201770;1
100000;330;42000;1
